permit_number,issue_date,project_value,type_of_work,address,PostalCode,building_contractor,property_use,year,n,FSA,logPropVal
BP-2017-06511,2018-01-25,520000,Addition / Alteration,"1066 W HASTINGS STREET, Vancouver, BC V6E 4M1", V6E 4M1,Michael Jay MacLeod,Office Uses,2018,31, V6E,5.7160033436347994
BP-2017-05243,2018-01-30,45000,Demolition / Deconstruction,"1436 E 2ND AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,RDM Enterprises Ltd,Institutional Uses,2018,843, V1V,4.653212513775344
BP-2018-00152,2018-01-30,85000,Addition / Alteration,"650 W 41ST AVENUE, Vancouver, BC V5Z 2M9", V5Z 2M9,Signature Editions Millwork Inc,Retail Uses,2018,58, V5Z,4.929418925714293
BP-2018-00153,2018-01-30,85000,Addition / Alteration,"650 W 41ST AVENUE, Vancouver, BC V5Z 2M9", V5Z 2M9,Signature Editions Millwork Inc,Retail Uses,2018,58, V5Z,4.929418925714293
DB-2016-03123,2018-01-31,150000,New Building,"1792 E 45TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,5.176091259055681
DB-2017-03734,2018-02-01,175000,New Building,"140 E 48TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Shalindro Dosanjh & Harjinder Singh Dosanjh,Dwelling Uses,2018,843, V1V,5.243038048686294
BP-2018-00026,2018-02-06,145000,Addition / Alteration,"1066 W HASTINGS STREET, Vancouver, BC V6E 4M1", V6E 4M1,Curve Construction Inc,Office Uses,2018,31, V6E,5.161368002234975
DB-2017-06217,2018-02-16,234990,New Building,"169 W 46TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Bright Star Holding,Dwelling Uses,2018,843, V1V,5.371049381262269
BP-2018-00361,2018-02-22,50000,Addition / Alteration,"3208 W 2ND AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,4.698970004336019
BP-2017-06533,2018-02-26,500000,Addition / Alteration,"1075 W GEORGIA STREET, Vancouver, BC V6E 3C9", V6E 3C9,Fusion Project Management Ltd,Office Uses,2018,44, V6E,5.698970004336019
BP-2018-00360,2018-02-27,450000,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,NA,Retail Uses,2018,113, V7Y,5.653212513775344
BP-2018-00674,2018-02-27,235000,Addition / Alteration,"650 W GEORGIA STREET, Vancouver, BC V6B 4N9", V6B 4N9,Govan Brown Ltd,Office Uses,2018,46, V6B,5.371067862271736
DB-2017-05828,2018-02-27,222500,New Building,"6363 MANITOBA STREET, Vancouver, BC V1V 1V1", V1V 1V1,Metro-City Projects Inc,Dwelling Uses,2018,843, V1V,5.347330015316951
DB-2017-06168,2018-02-27,220420,New Building,"2139 E 48TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Bright Star Holding,Dwelling Uses,2018,843, V1V,5.343250998054363
DB-2017-06554,2018-02-28,1000,Addition / Alteration,"1184 W KING EDWARD AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,3
DB-2017-04218,2018-03-01,222900,New Building,"6548 LANARK STREET, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,5.348110068480238
DB-2017-03313,2018-03-02,214750,New Building,"3828 SKEENA STREET, Vancouver, BC V1V 1V1", V1V 1V1,TQM Custom Homes Inc,Dwelling Uses,2018,843, V1V,5.3319331725032795
BP-2017-02976,2018-03-05,35500000,New Building,"1783 W 14TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,7.550228353055094
BP-2018-00763,2018-03-05,60000,Addition / Alteration,"1075 W GEORGIA STREET, Vancouver, BC V6E 3C9", V6E 3C9,Gibraltar Holdings Ltd,Office Uses,2018,44, V6E,4.778151250383644
BP-2018-00781,2018-03-05,50000,Addition / Alteration,"1075 W GEORGIA STREET, Vancouver, BC V6E 3C9", V6E 3C9,Gibraltar Holdings Ltd,Office Uses,2018,44, V6E,4.698970004336019
BP-2017-05204,2018-03-06,8500,Addition / Alteration,"1030 E 61ST AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,3.929418925714293
DB-2017-04110,2018-03-06,150750,New Building,"1022 E 58TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Mezetta Homes Ltd,Dwelling Uses,2018,843, V1V,5.178257320812189
BP-2017-06559,2018-03-07,690940,Addition / Alteration,"8502 RIVER DISTRICT CROSSING, Vancouver, BC V1V 1V1", V1V 1V1,NA,Office Uses,2018,843, V1V,5.839440335651648
DB-2017-06144,2018-03-07,166247.5,New Building,"4651 MCHARDY STREET, Vancouver, BC V1V 1V1", V1V 1V1,Mountainview Enterprises Ltd,Dwelling Uses,2018,843, V1V,5.22075512318195
BP-2018-00471,2018-03-08,200000,Addition / Alteration,"885 W GEORGIA STREET, Vancouver, BC V6C 3E8", V6C 3E8,NA,Office Uses,2018,40, V6C,5.301029995663981
DB-2017-06116,2018-03-08,256000,New Building,"6943 FLEMING STREET, Vancouver, BC V1V 1V1", V1V 1V1,Vancouver Lower Mainland Construction Ltd,Dwelling Uses,2018,843, V1V,5.408239965311849
BP-2018-00029,2018-03-12,18250,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,Central West Project Management Inc,Office Uses,2018,113, V7Y,4.261262868792493
DB-2018-00859,2018-03-13,200000,New Building,"1661 E 59TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,TRM Construction Ltd,Dwelling Uses,2018,843, V1V,5.301029995663981
BP-2018-00925,2018-03-20,212500,Addition / Alteration,"1066 W HASTINGS STREET, Vancouver, BC V6E 4M1", V6E 4M1,Aura Office Environments Inc,Office Uses,2018,31, V6E,5.32735893438633
BP-2018-00927,2018-03-20,212500,Addition / Alteration,"1066 W HASTINGS STREET, Vancouver, BC V6E 4M1", V6E 4M1,Aura Office Environments Inc,Office Uses,2018,31, V6E,5.32735893438633
BP-2017-04108,2018-03-21,208000,New Building,"1025 KEEFER STREET, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,5.318063334962762
BP-2018-00739,2018-03-22,500000,Addition / Alteration,"885 W GEORGIA STREET, Vancouver, BC V6C 3E8", V6C 3E8,Fusion Project Management Ltd,Office Uses,2018,40, V6C,5.698970004336019
DB-2017-03828,2018-03-22,208100,New Building,"5378 WINDSOR STREET, Vancouver, BC V1V 1V1", V1V 1V1,Lanefab Design Build Ltd,Dwelling Uses,2018,843, V1V,5.318272080211627
BP-2018-00921,2018-03-28,71000,Addition / Alteration,"1333 W BROADWAY, Vancouver, BC V6H 4C1", V6H 4C1,NA,Office Uses,2018,32, V6H,4.8512583487190755
BP-2018-01301,2018-03-28,1800000,Addition / Alteration,"1055 W GEORGIA STREET, Vancouver, BC V6E 3P3", V6E 3P3,Canadian Turner Construction Company Ltd,Office Uses,2018,33, V6E,6.2552725051033065
DB-2018-00094,2018-03-29,215000,New Building,"6642 BUTLER STREET, Vancouver, BC V1V 1V1", V1V 1V1,New Galaxy Building & Development Ltd,Dwelling Uses,2018,843, V1V,5.332438459915605
BP-2018-00791,2018-04-04,694000,Addition / Alteration,"885 W GEORGIA STREET, Vancouver, BC V6C 3E8", V6C 3E8,Omicron Construction Ltd,Office Uses,2018,40, V6C,5.841359470454855
DB-2017-03777,2018-04-04,646252.5,New Building,"7032 STIRLING STREET, Vancouver, BC V1V 1V1", V1V 1V1,Brillance Construction & Development Ltd,Dwelling Uses,2018,843, V1V,5.810402236154772
DB-2018-00084,2018-04-04,250900,New Building,"6415 BUTLER STREET, Vancouver, BC V1V 1V1", V1V 1V1,Vancouver Lower Mainland Construction Ltd,Dwelling Uses,2018,843, V1V,5.399500661314611
DB-2017-03510,2018-04-06,247500,New Building,"3628 MCGILL STREET, Vancouver, BC V1V 1V1", V1V 1V1,88 Homes Ltd,Dwelling Uses,2018,843, V1V,5.393575203269587
DB-2017-03808,2018-04-06,148500,New Building,"1913 E 51ST AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Van Phong Hoang,Dwelling Uses,2018,843, V1V,5.171726453653231
DB-2017-03479,2018-04-09,162225,New Building,"5289 CHESTER STREET, Vancouver, BC V1V 1V1", V1V 1V1,Orchid Homes Ltd,Dwelling Uses,2018,843, V1V,5.210117782830792
DB-2017-01675,2018-04-10,160000,New Building,"1753 E 39TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Astec Development Ltd,Dwelling Uses,2018,843, V1V,5.204119982655925
BP-2018-01063,2018-04-12,1400000,Addition / Alteration,"200 GRANVILLE STREET, Vancouver, BC V6C 1S4", V6C 1S4,Omicron Construction Ltd,Office Uses,2018,38, V6C,6.146128035678238
BP-2018-01064,2018-04-12,1400000,Addition / Alteration,"200 GRANVILLE STREET, Vancouver, BC V6C 1S4", V6C 1S4,Omicron Construction Ltd,Office Uses,2018,38, V6C,6.146128035678238
DB-2017-02938,2018-04-12,223000,New Building,"3303 TRUTCH STREET, Vancouver, BC V1V 1V1", V1V 1V1,Sky & Star Enterprise Inc,Dwelling Uses,2018,843, V1V,5.348304863048161
DB-2017-03860,2018-04-12,225000,New Building,"2127 W 59TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Smallworks Studio and Laneway Housing Inc,Dwelling Uses,2018,843, V1V,5.352182518111363
DB-2017-03471,2018-04-13,190545,New Building,"2512 TRINITY STREET, Vancouver, BC V1V 1V1", V1V 1V1,Unique-Style Homes Ltd,Dwelling Uses,2018,843, V1V,5.2799975571444
DB-2018-00639,2018-04-13,250000,Addition / Alteration,"3237 EUCLID AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,5.3979400086720375
DB-2017-06688,2018-04-17,225000,New Building,"226 E 63RD AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Arch Developments Limited,Dwelling Uses,2018,843, V1V,5.352182518111363
BP-2018-01298,2018-04-18,89780,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,NA,Retail Uses,2018,113, V7Y,4.953179601065634
DB-2017-03360,2018-04-20,153125,New Building,"4617 RAVINE STREET, Vancouver, BC V1V 1V1", V1V 1V1,Comfort Development Ltd,Dwelling Uses,2018,843, V1V,5.185046101708608
BP-2017-02392,2018-04-24,162500,Addition / Alteration,"1476 E 11TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Hicks Interiors Inc,Dwelling Uses,2018,843, V1V,5.210853365314893
DB452693,2018-04-24,696000,New Building,"3470 PRINCE EDWARD STREET, Vancouver, BC V1V 1V1", V1V 1V1,PD Moore Homes Inc,Dwelling Uses,2018,843, V1V,5.842609239610562
DB-2017-04107,2018-04-30,160000,New Building,"2459 MCGILL STREET, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,5.204119982655925
BP-2018-02084,2018-05-02,421200,Addition / Alteration,"1177 W HASTINGS STREET, Vancouver, BC V6E 2K3", V6E 2K3,NA,Office Uses,2018,41, V6E,5.624488362513449
DB-2018-00806,2018-05-02,177500,New Building,"404 E 62ND AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Gurmail Development Ltd,Dwelling Uses,2018,843, V1V,5.249198357391113
DB-2017-06681,2018-05-03,225000,New Building,"2567 E 11TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,5.352182518111363
DB-2017-06680,2018-05-09,225000,New Building,"7598 MUIRFIELD DRIVE, Vancouver, BC V1V 1V1", V1V 1V1,Pantheon Developments Ltd,Dwelling Uses,2018,843, V1V,5.352182518111363
DB-2017-06402,2018-05-10,562500,New Building,"757 E 20TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Mercia Construction Ltd,Dwelling Uses,2018,843, V1V,5.7501225267834
BP-2018-01954,2018-05-11,110000,Addition / Alteration,"1055 W HASTINGS STREET, Vancouver, BC V6E 2E9", V6E 2E9,VPAC Construction Group Ltd,Office Uses,2018,40, V6E,5.041392685158225
DB-2017-03353,2018-05-14,225000,New Building,"4616 W 9TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,M & W Enterprises Ltd,Dwelling Uses,2018,843, V1V,5.352182518111363
BP-2018-01686,2018-05-18,280000,New Building,"2049 W 15TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Coastline Projects Ltd,Dwelling Uses,2018,843, V1V,5.447158031342219
DB-2018-00909,2018-05-18,162500,New Building,"2246 E 10TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,5.210853365314893
DB-2018-01626,2018-05-18,765750,New Building,"3948 W 32ND AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,0825886 BC Ltd,Dwelling Uses,2018,843, V1V,5.8840870054786105
DB-2017-03284,2018-05-25,211750,New Building,"3533 CROWN STREET, Vancouver, BC V1V 1V1", V1V 1V1,Big Tree Construction Ltd,Dwelling Uses,2018,843, V1V,5.325823419002744
DB-2017-03338,2018-05-25,1003500,New Building,"2652 E 1ST AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Greater Vancouver Master Builder Construction Ltd,Dwelling Uses,2018,843, V1V,6.001517376823505
DB-2018-01154,2018-05-25,211822.5,New Building,"6752 DUMFRIES STREET, Vancouver, BC V1V 1V1", V1V 1V1,Senator Homes Ltd,Dwelling Uses,2018,843, V1V,5.3259720894204206
DB-2018-00954,2018-05-29,173555,New Building,"2714 E 7TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Westcoast Platinum Developments Ltd,Dwelling Uses,2018,843, V1V,5.239437129912529
BP-2018-02222,2018-05-30,50000,Addition / Alteration,"650 W GEORGIA STREET, Vancouver, BC V6B 4N9", V6B 4N9,Ledcor Construction Limited,Office Uses,2018,46, V6B,4.698970004336019
DB-2017-06250,2018-05-30,137280,New Building,"3179 E 51ST AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Cam Frank Construction Ltd,Dwelling Uses,2018,843, V1V,5.13760727050463
BP-2018-02128,2018-06-01,150000,Addition / Alteration,"700 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,NA,Retail Uses,2018,113, V7Y,5.176091259055681
DB-2017-04130,2018-06-01,167250,New Building,"2855 GRAVELEY STREET, Vancouver, BC V1V 1V1", V1V 1V1,Tyko Development Ltd,Dwelling Uses,2018,843, V1V,5.223366126439861
DB-2017-06201,2018-06-01,710250,New Building,"6848 SHERBROOKE STREET, Vancouver, BC V1V 1V1", V1V 1V1,Ravinder Boparai,Dwelling Uses,2018,843, V1V,5.851411242394973
BP-2018-02643,2018-06-05,90750,Addition / Alteration,"1055 W HASTINGS STREET, Vancouver, BC V6E 2E9", V6E 2E9,Willow Spring Construction BC Ltd,Office Uses,2018,40, V6E,4.95784663370815
DB-2018-00123,2018-06-05,196035,New Building,"4788 BRUCE STREET, Vancouver, BC V1V 1V1", V1V 1V1,Bharat Developments Ltd,Dwelling Uses,2018,843, V1V,5.2923336170190165
BP-2017-03790,2018-06-06,15000000,New Building,"7777 CAMBIE STREET, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,7.176091259055681
DB-2017-04124,2018-06-06,216500,New Building,"3130 E 50TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Cam Frank Construction Ltd,Dwelling Uses,2018,843, V1V,5.335457900689384
DB-2017-06506,2018-06-06,230250,New Building,"5612 RUPERT STREET, Vancouver, BC V1V 1V1", V1V 1V1,Fixright Construction Ltd,Dwelling Uses,2018,843, V1V,5.362199638868886
BP-2017-02965,2018-06-08,17860000,New Building,"7525 YUKON STREET, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,7.251881454552527
BP-2018-02879,2018-06-08,55275,Addition / Alteration,"1055 W HASTINGS STREET, Vancouver, BC V6E 2E9", V6E 2E9,Willow Spring Construction BC Ltd,Office Uses,2018,40, V6E,4.7425287512507515
DB-2018-00495,2018-06-11,203750,New Building,"3783 W 1ST AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Ronse Massey Developments Inc,Dwelling Uses,2018,843, V1V,5.309097617412014
DB-2017-05641,2018-06-12,225000,New Building,"3283 E 49TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Grand Hill Development Ltd,Dwelling Uses,2018,843, V1V,5.352182518111363
DB-2018-00344,2018-06-12,158500,New Building,"611 E 18TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Fixright Construction Ltd,Dwelling Uses,2018,843, V1V,5.20002926655377
BP-2018-02545,2018-06-13,70000,Addition / Alteration,"650 W 41ST AVENUE, Vancouver, BC V5Z 2M9", V5Z 2M9,Gocan Contracting Ltd,Retail Uses,2018,58, V5Z,4.845098040014257
BP-2018-02547,2018-06-13,200000,Addition / Alteration,"1055 W GEORGIA STREET, Vancouver, BC V6E 3P3", V6E 3P3,Govan Brown Ltd,Office Uses,2018,33, V6E,5.301029995663981
BP-2017-03355,2018-06-20,676640,New Building,"8359 VICTORIA DRIVE, Vancouver, BC V1V 1V1", V1V 1V1,Five River Holdings Ltd,Dwelling Uses,2018,843, V1V,5.830357667802825
DB-2018-01193,2018-06-20,234750,New Building,"2118 E 61ST AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Liban Property Management & Construction Co Ltd,Dwelling Uses,2018,843, V1V,5.370605600938148
BP-2018-01874,2018-06-21,500000,Addition / Alteration,"1055 W HASTINGS STREET, Vancouver, BC V6E 2E9", V6E 2E9,NA,Office Uses,2018,40, V6E,5.698970004336019
BP-2018-02617,2018-06-21,5042000,New Building,"137 E 37TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,6.702602841340427
DB-2017-06134,2018-06-21,232457.5,New Building,"913 E 41ST AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,AMPM Custom Homes Inc,Dwelling Uses,2018,843, V1V,5.3663435628059135
BP-2018-03216,2018-06-22,25000,Addition / Alteration,"1501 HARO STREET, Vancouver, BC V6G 1G4", V6G 1G4,NA,Dwelling Uses,2018,44, V6G,4.3979400086720375
BP-2018-03123,2018-06-25,25000,Addition / Alteration,"1501 HARO STREET, Vancouver, BC V6G 1G4", V6G 1G4,NA,Dwelling Uses,2018,44, V6G,4.3979400086720375
BP-2018-03125,2018-06-25,25000,Addition / Alteration,"1501 HARO STREET, Vancouver, BC V6G 1G4", V6G 1G4,NA,Dwelling Uses,2018,44, V6G,4.3979400086720375
BP-2018-03127,2018-06-25,25000,Addition / Alteration,"1501 HARO STREET, Vancouver, BC V6G 1G4", V6G 1G4,NA,Dwelling Uses,2018,44, V6G,4.3979400086720375
BP-2018-03136,2018-06-25,25000,Addition / Alteration,"1755 HARO STREET, Vancouver, BC V6G 1H2", V6G 1H2,NA,Dwelling Uses,2018,44, V6G,4.3979400086720375
BP-2018-03137,2018-06-25,25000,Addition / Alteration,"1501 HARO STREET, Vancouver, BC V6G 1G4", V6G 1G4,NA,Dwelling Uses,2018,44, V6G,4.3979400086720375
DB-2017-06633,2018-06-25,170500,New Building,"873 E 63RD AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Woodbine Builders Ltd,Dwelling Uses,2018,843, V1V,5.231724383328516
DB-2017-03507,2018-06-27,1195500,New Building,"3788 W 36TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,PMP HOMES LTD,Dwelling Uses,2018,843, V1V,6.077549580451794
BP-2016-03556,2017-01-06,928373,Addition / Alteration,"666 BURRARD STREET, Vancouver, BC V6C 2X8", V6C 2X8,Ledcor Construction Limited,Office Uses,2017,41, V6C,5.967722501321231
BP-2016-04033,2017-01-12,49000,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,NA,Retail Uses,2017,113, V7Y,4.690196080028514
BP-2016-04553,2017-01-18,250000,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,NA,Retail Uses,2017,113, V7Y,5.3979400086720375
BP-2016-04324,2017-01-27,120000,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,Golden Chateau Building Materials Inc,Retail Uses,2017,113, V7Y,5.079181246047625
BP-2019-00684,2019-04-17,67257,Addition / Alteration,"595 BURRARD STREET, Vancouver, BC V7X 1K8", V7X 1K8,Omicron Construction Ltd,Office Uses,2019,33, V7X,4.827737491695494
BP-2019-01610,2019-05-02,225000,Addition / Alteration,"1066 W HASTINGS STREET, Vancouver, BC V6E 4M1", V6E 4M1,Syncor Solutions Limited,Office Uses,2019,31, V6E,5.352182518111363
DB-2018-06161,2019-05-02,246412.5,New Building,"8030 INVERNESS STREET, Vancouver, BC V1V 1V1", V1V 1V1,Woodbine Builders Ltd,Dwelling Uses,2019,843, V1V,5.391662734918234
DB-2018-05391,2019-05-03,225000,New Building,"1868 W 39TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,The One Construction Ltd.,Dwelling Uses,2019,843, V1V,5.352182518111363
BP-2019-01707,2019-05-06,100000,Addition / Alteration,"885 W GEORGIA STREET, Vancouver, BC V6C 3E8", V6C 3E8,Novacom Building Partners Ltd.,Office Uses,2019,40, V6C,5
BP-2019-01735,2019-05-08,280000,Addition / Alteration,"1055 W HASTINGS STREET, Vancouver, BC V6E 2E9", V6E 2E9,Reotech Construction Ltd,Office Uses,2019,40, V6E,5.447158031342219
DB-2018-00350,2018-06-28,188500,New Building,"2946 KITCHENER STREET, Vancouver, BC V1V 1V1", V1V 1V1,Cobblestone Homes Ltd,Dwelling Uses,2018,843, V1V,5.275311354541811
BP-2018-02936,2018-06-29,70000,Addition / Alteration,"885 W GEORGIA STREET, Vancouver, BC V6C 3E8", V6C 3E8,Reotech Construction Ltd,Office Uses,2018,40, V6C,4.845098040014257
BP-2018-03221,2018-07-05,25000,Addition / Alteration,"1005 JERVIS STREET, Vancouver, BC V6E 3T1", V6E 3T1,NA,Dwelling Uses,2018,38, V6E,4.3979400086720375
BP-2018-03225,2018-07-05,25000,Addition / Alteration,"1005 JERVIS STREET, Vancouver, BC V6E 3T1", V6E 3T1,NA,Dwelling Uses,2018,38, V6E,4.3979400086720375
BP-2018-03227,2018-07-05,25000,Addition / Alteration,"1005 JERVIS STREET, Vancouver, BC V6E 3T1", V6E 3T1,NA,Dwelling Uses,2018,38, V6E,4.3979400086720375
BP-2018-03231,2018-07-05,25000,Addition / Alteration,"1005 JERVIS STREET, Vancouver, BC V6E 3T1", V6E 3T1,NA,Dwelling Uses,2018,38, V6E,4.3979400086720375
BP-2018-03232,2018-07-05,25000,Addition / Alteration,"1005 JERVIS STREET, Vancouver, BC V6E 3T1", V6E 3T1,NA,Dwelling Uses,2018,38, V6E,4.3979400086720375
DB-2018-00826,2018-07-06,717000,New Building,"795 E 59TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Senator Homes Ltd,Dwelling Uses,2018,843, V1V,5.8555191556678
BP-2018-02791,2018-07-09,27000,Addition / Alteration,"1333 W BROADWAY, Vancouver, BC V6H 4C1", V6H 4C1,Matra Construction,Office Uses,2018,32, V6H,4.431363764158987
BP-2018-00989,2018-07-11,2200000,Addition / Alteration,"666 BURRARD STREET, Vancouver, BC V6C 2X8", V6C 2X8,NA,Office Uses,2018,41, V6C,6.342422680822207
DB-2018-03005,2018-07-13,150000,Addition / Alteration,"650 W 41ST AVENUE, Vancouver, BC V5Z 2M9", V5Z 2M9,NA,Retail Uses,2018,58, V5Z,5.176091259055681
DB-2018-00057,2018-07-17,167000,New Building,"1330 E 36TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Picket Fence Homes Ltd,Dwelling Uses,2018,843, V1V,5.222716471147583
DB-2018-01126,2018-07-18,186910,New Building,"3162 CARNARVON STREET, Vancouver, BC V1V 1V1", V1V 1V1,William Scott Innes,Dwelling Uses,2018,843, V1V,5.271632537487123
DB-2018-01306,2018-07-19,231000,New Building,"479 E 50TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Colossal Custom Homes Ltd,Dwelling Uses,2018,843, V1V,5.363611979892144
DB-2018-01216,2018-07-20,593750,New Building,"303 E 40TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Vandwell Developments Inc,Dwelling Uses,2018,843, V1V,5.773603622632923
BP-2018-02889,2018-07-23,180000,Addition / Alteration,"1755 HARO STREET, Vancouver, BC V6G 1H2", V6G 1H2,NA,Dwelling Uses,2018,44, V6G,5.2552725051033065
BP-2018-02684,2018-07-26,1400000,Addition / Alteration,"200 GRANVILLE STREET, Vancouver, BC V6C 1S4", V6C 1S4,Omicron Construction Ltd,Office Uses,2018,38, V6C,6.146128035678238
DB-2017-06567,2018-07-27,239282,New Building,"6145 FLEMING STREET, Vancouver, BC V1V 1V1", V1V 1V1,Namo Construction Ltd,Dwelling Uses,2018,843, V1V,5.3789100300188055
BP-2018-03423,2018-07-31,400000,Addition / Alteration,"595 BURRARD STREET, Vancouver, BC V7X 1K8", V7X 1K8,Omicron Construction Ltd,Office Uses,2018,33, V7X,5.6020599913279625
DB-2017-04563,2018-08-02,236000,New Building,"2838 OLIVER CRESCENT, Vancouver, BC V1V 1V1", V1V 1V1,Pro Design Co Ltd,Dwelling Uses,2018,843, V1V,5.372912002970106
DB-2018-00007,2018-08-02,252645,New Building,"278 W 47TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,C-Best Construction Ltd,Dwelling Uses,2018,843, V1V,5.402510707704284
DB-2017-04457,2018-08-07,160750,New Building,"3580 CARNARVON STREET, Vancouver, BC V1V 1V1", V1V 1V1,Smallworks Studio and Laneway Housing Inc,Dwelling Uses,2018,843, V1V,5.206150981596259
DB-2018-01316,2018-08-07,158500,New Building,"1477 E 61ST AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,M Cheng & Associates Inc,Dwelling Uses,2018,843, V1V,5.20002926655377
BP-2018-03579,2018-08-13,350000,Addition / Alteration,"992 W BROADWAY, Vancouver, BC V1V 1V1", V1V 1V1,Axiom Builders Inc,Service Uses,2018,843, V1V,5.544068044350276
BP-2018-04121,2018-08-16,115000,Addition / Alteration,"666 BURRARD STREET, Vancouver, BC V6C 2X8", V6C 2X8,Govan Brown Ltd,Office Uses,2018,41, V6C,5.060697840353612
DB-2017-05768,2018-08-16,174427,New Building,"1889 E 51ST AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,5.241613711350102
BP-2018-03444,2018-08-17,136000,Addition / Alteration,"1075 W GEORGIA STREET, Vancouver, BC V6E 3C9", V6E 3C9,NA,Office Uses,2018,44, V6E,5.133538908370218
DB-2017-05840,2018-08-24,165250,New Building,"3127 E 4TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,5.218141468157678
DB-2017-06611,2018-08-24,165270,New Building,"2064 E 13TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Kentwood Homes Ltd,Dwelling Uses,2018,843, V1V,5.218194027092983
DB-2017-06614,2018-08-24,718925,New Building,"1025 E 63RD AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Benipal Developments Ltd,Dwelling Uses,2018,843, V1V,5.856683586092085
DB-2017-06615,2018-08-24,15000,Demolition / Deconstruction,"1025 E 63RD AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,All Right Trucking 99 Ltd,Dwelling Uses,2018,843, V1V,4.176091259055681
